지점,지점명,일시,평균기온(°C),평균 이슬점온도(°C),평균 증기압(hPa),평균 현지기압(hPa),평균 해면기압(hPa),가조시간(hr),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C)
108,서울,2013-05-28,18.9,17,19.4,995.2,1005.1,14.5,19.5,16.4,19.5
108,서울,2013-05-29,16.1,14,16,998.7,1008.8,14.5,17,12.3,17.6
108,서울,2013-05-30,19.2,9.7,12.1,1002.4,1012.3,14.6,21.8,12,21.4
108,서울,2013-05-31,21.3,8.4,11.1,1000,1009.9,14.6,23.1,9.4,22.4
108,서울,2013-06-01,21.7,8.4,11.1,997.2,1007,14.6,23.3,14.3,23.5
108,서울,2013-06-02,23.5,10.9,13.2,997.1,1006.9,14.6,26.4,11.6,25.6
108,서울,2013-06-03,21.3,12.8,14.8,1001.8,1011.7,14.6,25.7,14.5,25.3
108,서울,2013-06-04,22.8,12.5,14.5,1006.2,1016,14.6,25.4,13,24.8
108,서울,2013-06-05,24.8,13.7,15.7,1006.5,1016.3,14.7,27.6,14.2,26.8
108,서울,2013-06-06,25,15.1,17.2,1004.4,1014.1,14.7,28.7,18.4,27.8
108,서울,2013-06-07,25.7,13.9,16.1,1001.6,1011.3,14.7,29.2,16.7,28.4
108,서울,2013-06-08,26.4,14.4,16.5,998.9,1008.6,14.7,28.4,16,27.4
108,서울,2013-06-09,27.4,11,13.4,997.2,1006.8,14.7,31.9,17.3,30.2
108,서울,2013-06-10,27.5,10.3,12.6,996.9,1006.5,14.7,32.5,16,30.6
108,서울,2013-06-11,23.7,14,16.4,996.4,1006.1,14.7,26.8,20.4,26.5
108,서울,2013-06-12,20.5,17.9,20.5,998.7,1008.6,14.7,21.8,18.4,22.4
108,서울,2013-06-13,23,16.9,19.3,1002.8,1012.7,14.7,26.4,16.4,24.5
108,서울,2013-06-14,24.6,16.4,18.7,1003,1012.8,14.8,27.4,18.5,26.3
108,서울,2013-06-15,24.6,15.6,17.7,1001.7,1011.4,14.8,30.9,17.9,28.1
108,서울,2013-06-16,22.5,16.5,18.8,998.1,1007.9,14.8,28.8,15.7,27.5
108,서울,2013-06-17,22.3,17.9,20.5,992.5,1002.2,14.8,24.4,17.6,24.9
108,서울,2013-06-18,21.7,20,23.4,986.9,996.6,14.8,22.2,20.5,22.6
108,서울,2013-06-19,24.3,18.3,21.1,990.7,1000.3,14.8,27.1,18.4,25.8
108,서울,2013-06-20,25.8,16.5,18.8,995.4,1005.1,14.8,29.1,16.3,27.8
108,서울,2013-06-21,26.6,17.3,19.7,995.4,1005,14.8,31.3,20.1,28.7
108,서울,2013-06-22,25.1,17.6,20.2,996.4,1006.1,14.8,29.9,20.7,28
